5 8  127, 255, 0;255, 229, 0;255, 0, 0;0, 51, 255  0
5 8  194, 10, 51;255, 127, 51;108, 89, 83;157, 242, 121  0
5 8  229, 178, 0;255, 0, 51;127, 255, 13;0, 38, 115  0
5 8  229, 247, 242;194, 0, 61;0, 126, 42;0, 255, 255  0
5 8  223, 218, 195;86, 182, 38;255, 229, 178;13, 255, 229  0
7 9  0, 112, 194;0, 255, 14;255, 178, 247;217, 255, 64  0
7 9  178, 0, 125;255, 127, 153;255, 204, 127;51, 51, 51  0
7 9  140, 255, 229;255, 0, 51;127, 0, 255;204, 204, 204  0
7 9  64, 255, 0;255, 255, 0;255, 102, 0;255, 0, 255  0
7 9  255, 165, 0;50, 205, 50;255, 248, 220;128, 0, 0  0
9 9  0, 204, 143;255, 166, 229;217, 178, 255;255, 51, 0  0
7 11  0, 255, 255;0, 255, 0;255, 172, 0;229, 0, 184  0
9 9  242, 0, 194;255, 166, 204;76, 25, 255;51, 255, 178  0  
7 11  255, 25, 102;255, 140, 13;76, 25, 255;182, 0, 143  0
7 11  255, 51, 229;161, 9, 62;255, 38, 51;255, 242, 191  0
9 10  255, 229, 178;255, 140, 115;184, 184, 194;163, 172, 96  0
9 10  214, 140, 69;233, 201, 185;44, 110, 73;254, 254, 227  0
9 10  17, 181, 228;3, 71, 72;216, 30, 91;250, 255, 206  0
9 10  240, 157, 81;232, 233, 235;49, 54, 56;240, 101, 67  0
9 11  41, 231, 205;224, 172, 213;106, 62, 55;199, 153, 13  0
9 11  242, 244, 203;17, 154, 17;222, 114, 139;157, 109, 242  0
9 11  31, 86, 115;101, 250, 216;131, 23, 0;247, 234, 127  0
9 11  71, 36, 10;200, 95, 19;138, 112, 76;193, 124, 116  0
9 12  204, 232, 235;35, 181, 211;21, 70, 213;7, 16, 56  0
9 12  255, 212, 0;234, 222, 218;217, 3, 104;46, 41, 78  0
